['03/08/2021', ['11', '15'], '56', '9', '230', '17', '7000*', '10']
['03/08/2021', ['11', '35'], '56', '9', '230', '20', '7000*', '10']
['03/08/2021', ['11', '55'], '57', '15', '220', '20', '7000*', '10']
['03/08/2021', ['12', '15'], '57', '8', '250', '20', '9500', '10']
['03/08/2021', ['12', '35'], '58', '9', '220', '18', '9500', '10']
['03/08/2021', ['12', '55'], '59', '10', '230', '18', '9500', '10']
['03/08/2021', ['17', '35'], '59', '11', '270', '17', '7500*', '10']
['03/08/2021', ['17', '55'], '58', '7', '260', '16', '7500*', '10']
['03/08/2021', ['18', '15'], '57', '8', '260', '16*', '7500*', '10']
['03/08/2021', ['18', '35'], '56', '6', '260', '0', '7500*', '10']
['03/08/2021', ['18', '55'], '55', '6', '270', '0*', '7500*', '10']
['03/09/2021', ['08', '35'], '35', '6', '90', '0*', '7500*', '5']
['03/09/2021', ['08', '55'], '38', '0', '0', '0*', '7500*', '7']
['03/09/2021', ['09', '15'], '43', '0', '0', '0*', '7500*', '10']
['03/09/2021', ['09', '35'], '45', '5', '130', '0*', '7500*', '10']
['03/09/2021', ['09', '55'], '47', '6', '150', '0*', '7500*', '10']
['03/09/2021', ['10', '15'], '48', '7', '150', '0*', '7500*', '10']
['03/09/2021', ['10', '35'], '49', '8', '150', '0*', '7500*', '10']
['03/09/2021', ['10', '55'], '51', '9', '140', '0*', '7500*', '10']
['03/09/2021', ['11', '15'], '52', '11', '140', '0*', '7500*', '10']
['03/09/2021', ['11', '35'], '53', '8', '130', '16', '7500*', '10']
['03/09/2021', ['11', '55'], '53', '10', '140', '16*', '7500*', '10']
['03/09/2021', ['12', '15'], '54', '9', '130', '16*', '7500*', '10']
['03/09/2021', ['12', '35'], '55', '10', '160', '16', '7500*', '10']
['03/09/2021', ['12', '55'], '56', '11', '150', '16', '7500*', '10']
['03/09/2021', ['13', '15'], '56', '13', '140', '18', '7500*', '10']
['03/09/2021', ['13', '35'], '57', '11', '120', '16', '7500*', '10']
['03/09/2021', ['13', '55'], '58', '10', '120', '16', '7500*', '10']
['03/09/2021', ['14', '15'], '58', '15', '170', '16*', '7500*', '10']
['03/09/2021', ['14', '35'], '60', '14', '150', '20', '7500*', '10']
['03/09/2021', ['14', '55'], '59', '13', '170', '18', '7500*', '10']
['03/09/2021', ['15', '35'], '60', '14', '160', '20', '7500*', '10']
['03/09/2021', ['16', '15'], '60', '13', '150', '20', '7500*', '10']
['03/09/2021', ['17', '15'], '59', '14', '130', '20', '7500*', '10']
['03/09/2021', ['17', '55'], '57', '11', '130', '20', '7500*', '10']
['03/09/2021', ['18', '15'], '56', '8', '150', '20', '7500*', '10']
['03/09/2021', ['18', '35'], '54', '13', '120', '16', '7500*', '10']
['03/09/2021', ['18', '55'], '53', '15', '120', '16*', '7500*', '10']
['03/10/2021', ['06', '35'], '45', '10', '150', '18', '12000*', '10']
['03/10/2021', ['06', '55'], '46', '11', '160', '16', '12000*', '10']
['03/10/2021', ['07', '15'], '46', '10', '140', '18', '12000*', '10']
['03/10/2021', ['07', '35'], '46', '11', '160', '18', '4400', '10']
['03/10/2021', ['07', '55'], '47', '11', '160', '18*', '4400', '10']
['03/10/2021', ['08', '15'], '48', '10', '170', '16', '4800', '10']
['03/10/2021', ['08', '35'], '49', '10', '170', '17', '5000', '10']
['03/10/2021', ['08', '55'], '51', '11', '170', '17*', '4700', '10']
['03/10/2021', ['09', '15'], '51', '9', '170', '17*', '6000', '10']
['03/10/2021', ['09', '35'], '54', '11', '180', '16', '6000*', '10']
['03/10/2021', ['09', '55'], '57', '8', '200', '17', '6000*', '10']
['03/10/2021', ['10', '15'], '58', '9', '200', '17*', '6000*', '10']
['03/10/2021', ['11', '35'], '63', '11', '200', '17', '6000*', '10']
['03/10/2021', ['17', '35'], '65', '8', '180', '20', '6000', '10']
['03/11/2021', ['06', '35'], '58', '5', '190', '18*', '3900', '10']
['03/11/2021', ['06', '55'], '59', '7', '200', '18*', '3400', '10']
['03/11/2021', ['07', '15'], '60', '8', '190', '18*', '3400', '10']
['03/12/2021', ['06', '35'], '35', '3', '250', '0*', '3900*', '10']
['03/12/2021', ['06', '55'], '35', '6', '250', '0*', '3900*', '10']
['03/12/2021', ['07', '15'], '35', '3', '250', '0*', '3900*', '10']
['03/12/2021', ['07', '35'], '36', '5', '250', '0*', '3900*', '10']
['03/12/2021', ['07', '55'], '37', '5', '260', '0*', '3900*', '10']
['03/12/2021', ['08', '15'], '38', '7', '260', '0*', '3900*', '10']
['03/12/2021', ['08', '35'], '39', '7', '270', '0*', '3900*', '10']
['03/12/2021', ['08', '55'], '40', '11', '280', '0*', '3900*', '10']
['03/12/2021', ['09', '15'], '42', '10', '270', '0*', '3900*', '10']
['03/12/2021', ['09', '35'], '44', '10', '260', '16', '3900*', '10']
['03/12/2021', ['09', '55'], '46', '15', '280', '16*', '3900*', '10']
['03/12/2021', ['10', '15'], '46', '13', '270', '18', '3900*', '10']
['03/12/2021', ['18', '15'], '41', '14', '280', '18', '3900*', '10']
['03/12/2021', ['18', '35'], '40', '14', '270', '18', '3900*', '10']
['03/13/2021', ['10', '15'], '35', '3', '220', '0*', '3900*', '10']
['03/13/2021', ['10', '35'], '36', '6', '200', '0*', '3900*', '10']
['03/13/2021', ['10', '55'], '38', '5', '270', '0*', '3900*', '10']
['03/13/2021', ['11', '15'], '39', '6', '240', '0*', '3900*', '10']
['03/13/2021', ['11', '35'], '39', '6', '250', '0*', '3900*', '10']
['03/13/2021', ['11', '55'], '41', '7', '250', '0*', '3900*', '10']
['03/13/2021', ['12', '15'], '41', '8', '260', '0*', '3900*', '10']
['03/13/2021', ['12', '35'], '42', '8', '230', '0*', '3900*', '10']
['03/13/2021', ['12', '55'], '44', '6', '230', '0*', '3900*', '10']
['03/13/2021', ['13', '15'], '44', '10', '240', '0*', '3900*', '10']
['03/13/2021', ['13', '35'], '46', '8', '220', '0*', '3900*', '10']
['03/13/2021', ['13', '55'], '46', '8', '240', '17', '3900*', '10']
['03/13/2021', ['14', '15'], '47', '9', '230', '17', '3900*', '10']
['03/13/2021', ['14', '35'], '48', '9', '230', '17', '3900*', '10']
['03/13/2021', ['14', '55'], '49', '11', '270', '20', '3900*', '10']
['03/13/2021', ['15', '15'], '51', '14', '260', '20', '3900*', '10']
['03/13/2021', ['16', '15'], '52', '10', '290', '17', '3900*', '10']
['03/13/2021', ['16', '55'], '52', '13', '270', '20', '3900*', '10']
['03/13/2021', ['17', '55'], '51', '10', '270', '18', '3900*', '10']
